NOC,Gold,Silver,Bronze,Total
Germany,12,9,8,29
Norway,10,10,5,25
Russia,9,6,3,18
Canada,6,5,4,15
United States,6,3,4,13
Netherlands,5,4,2,11
Japan,5,1,4,10
Austria,3,5,9,17
South Korea,3,1,2,6
Italy,2,6,2,10
Finland,2,4,6,12
Switzerland,2,2,3,7
France,2,1,5,8
Czech Republic,1,1,1,3
Bulgaria,1,0,0,1
China,0,6,2,8
Sweden,0,2,1,3
Denmark,0,1,0,1
Ukraine,0,1,0,1
Kazakhstan,0,0,2,2
Belarus,0,0,2,2
United Kingdom,0,0,1,1
Belgium,0,0,1,1
Australia,0,0,1,1
